key	lemma	part_of_speech	parsing	definition	strongs	alternates
α	ὅς	relative pronoun	accusative plural neuter	who, which, what, that	G3739	ὅς|relative pronoun|nominative plural neuter
ααρων	Ἀαρών	noun	genitive singular masculine	Aaron	G2	Ἀαρών|noun|dative singular masculine;Ἀαρών|noun|nominative singular masculine
αβαδδων	Ἀβαδδών	noun	nominative singular masculine	Abaddon	G3	
αβαρη	ἀβαρής	adjective	accusative singular masculine	not burdensome	G4	
αββα	αββα	noun	vocative singular masculine	Father	G5	
αβελ	Ἅβελ	noun	genitive singular masculine	Abel	G6	Ἅβελ|noun|accusative singular masculine;Ἅβελ|noun|nominative singular masculine
αβια	Ἀβιά	noun	accusative singular masculine	Abijah	G7	Ἀβιά|noun|genitive singular masculine;Ἀβιά|noun|nominative singular masculine
αβιαθαρ	Ἀβιαθάρ	noun	genitive singular masculine	Abiathar	G8	
αβιληνης	Ἀβιληνή	noun	genitive singular feminine	Abilene	G9	
αβιουδ	Ἀβιούδ	noun	accusative singular masculine	Abiud	G10	Ἀβιούδ|noun|nominative singular masculine
αβρααμ	Ἀβραάμ	noun	genitive singular masculine	Abraham	G11	Ἀβραάμ|noun|nominative singular masculine;Ἀβραάμ|noun|dative singular masculine;Ἀβραάμ|noun|accusative singular masculine
αβυσσον	ἄβυσσος	noun	accusative singular feminine	the abyss, the unfathomable depth	G12	
αβυσσου	ἄβυσσος	noun	genitive singular feminine	the abyss, the unfathomable depth	G12	
αγαβος	Ἅγαβος	noun	nominative singular masculine	Agabus	G13	
αγαγειν	ἄγω	verb	aorist active infinitive	I lead	G71	
αγαγετε	ἄγω	verb	aorist active imperative, 2nd person plural	I lead	G71	
αγαγη	ἄγω	verb	aorist active subjunctive, 3rd person singular	I lead	G71	
αγαγοντα	ἄγω	verb	aorist active participle, accusative singular masculine	I lead	G71	
αγαγοντες	ἄγω	verb	aorist active participle, nominative plural masculine	I lead	G71	
αγαθα	ἀγαθός	adjective	accusative plural neuter	good	G18	ἀγαθός|adjective|nominative plural neuter
αγαθας	ἀγαθός	adjective	accusative plural feminine	good	G18	
αγαθε	ἀγαθός	adjective	vocative singular masculine	good	G18	
αγαθη	ἀγαθός	adjective	dative singular feminine	good	G18	ἀγαθός|adjective|nominative singular feminine
αγαθην	ἀγαθός	adjective	accusative singular feminine	good	G18	
αγαθης	ἀγαθός	adjective	genitive singular feminine	good	G18	
αγαθοεργειν	ἀγαθοεργέω	verb	present active infinitive	I perform good deeds	G14	
αγαθοις	ἀγαθός	adjective	dative plural neuter	good	G18	ἀγαθός|adjective|dative plural masculine
αγαθον	ἀγαθός	adjective	accusative singular neuter	good	G18	ἀγαθός|adjective|nominative singular neuter;ἀγαθός|adjective|accusative singular masculine
αγαθοποιειτε	ἀγαθοποιέω	verb	present active imperative, 2nd person plural	I do that which is good	G15	
αγαθοποιησαι	ἀγαθοποιέω	verb	aorist active infinitive	I do that which is good	G15	
αγαθοποιητε	ἀγαθοποιέω	verb	present active subjunctive, 2nd person plural	I do that which is good	G15	
αγαθοποιια	ἀγαθοποιΐα	noun	dative singular feminine	the doing of that which is good	G16	
αγαθοποιουντας	ἀγαθοποιέω	verb	present active participle, accusative plural masculine	I do that which is good	G15	
αγαθοποιουντες	ἀγαθοποιέω	verb	present active participle, nominative plural masculine	I do that which is good	G15	
αγαθοποιουσαι	ἀγαθοποιέω	verb	present active participle, nominative plural feminine	I do that which is good	G15	
αγαθοποιων	ἀγαθοποιός	noun	genitive plural masculine	a doer of that which is good	G17	ἀγαθοποιέω|verb|present active participle, nominative singular masculine
αγαθος	ἀγαθός	adjective	nominative singular masculine	good	G18	
αγαθου	ἀγαθός	adjective	genitive singular neuter	good	G18	ἀγαθός|adjective|genitive singular masculine
αγαθουργων	ἀγαθουργέω	verb	present active participle, nominative singular masculine			
αγαθους	ἀγαθός	adjective	accusative plural masculine	good	G18	
αγαθω	ἀγαθός	adjective	dative singular neuter	good	G18	ἀγαθός|adjective|dative singular masculine
αγαθων	ἀγαθός	adjective	genitive plural neuter	good	G18	ἀγαθός|adjective|genitive plural masculine
αγαθωσυνη	ἀγαθωσύνη	noun	dative singular feminine	goodness	G19	ἀγαθωσύνη|noun|nominative singular feminine
αγαθωσυνης	ἀγαθωσύνη	noun	genitive singular feminine	goodness	G19	
αγαλλιαθηναι	ἀγαλλιάω	verb	aorist passive infinitive	I exult, am full of joy	G21	
αγαλλιασει	ἀγαλλίασις	noun	dative singular feminine	exultation, exhilaration	G20	
αγαλλιασεως	ἀγαλλίασις	noun	genitive singular feminine	exultation, exhilaration	G20	
αγαλλιασθε	ἀγαλλιάω	verb	present middle indicative, 2nd person plural	I exult, am full of joy	G21	ἀγαλλιάω|verb|present middle imperative, 2nd person plural
αγαλλιασις	ἀγαλλίασις	noun	nominative singular feminine	exultation, exhilaration	G20	
αγαλλιωμεν	ἀγαλλιάω	verb	present active subjunctive, 1st person plural	I exult, am full of joy	G21	
αγαλλιωμενοι	ἀγαλλιάω	verb	present middle participle, nominative plural masculine	I exult, am full of joy	G21	
αγαμοις	ἄγαμος	noun	dative plural masculine	unmarried	G22	
