key	lemma	part_of_speech	parsing	definition	strongs	alternates
אֱגוֹז	אֱגוֹז	noun	masculine singular absolute	a nut	H93	
אֱדַיִן	אֱדַיִן	adverb	adverb	then (of time)	H116	
אֱדֹם	עֹבֵד אֱדוֹם	proper noun	not parsed	Obed-Edom, the name of five Israelites	H5654	
אֱדוֹם	אֱדֹם	proper noun	not parsed	Edom, the elder twin-brother of Jacob; hence the region (Idumaea) occupied by him	H123	עֹבֵד אֱדוֹם|proper noun|not parsed
אֱהִי	אֱהִי	particle	interrogative particle	where	H165	
אֱהַב	אָהַב	verb	qal imperative 2nd person masculine singular	to have affection for (sexually or otherwise)	H157	
אֱהָבֶהָ	אָהַב	verb	qal imperative 2nd person masculine singular, pronominal suffix 3rd person feminine singular	to have affection for (sexually or otherwise)	H157	
אֱהָבוּ	אָהַב	verb	qal imperative 2nd person masculine plural	to have affection for (sexually or otherwise)	H157	
אֱוִי	אֱוִי	proper noun	not parsed	Evi, a Midianitish chief	H189	
אֱוִיל	אֱוִיל	adjective	adjective masculine singular absolute	(figuratively) silly	H191	אֱוִיל מְרֹדַךְ|adjective|adjective masculine singular absolute
אֱוִילִים	אֱוִיל	adjective	adjective masculine plural absolute	(figuratively) silly	H191	
אֱוִלִי	אֱוִלִי	adjective	adjective masculine singular absolute	silly, foolish; hence (morally) impious	H196	
אֱוִלִים	אֱוִיל	adjective	adjective masculine plural absolute	(figuratively) silly	H191	
אֱזָר	אָזַר	verb	qal imperative 2nd person masculine singular	to belt	H247	
אֱזָרֶה	זָרָה	verb	piel imperfect 1st person common singular	to toss about; by implication, to diffuse, winnow	H2219	
אֱיָל	אֱיָל	noun	masculine singular absolute	strength	H353	
אֱיָלוּתִי	אֱיָלוּת	noun	feminine singular construct, pronominal suffix 1st person common singular	power; by implication, protection	H360	
אֱכָל	אָכַל	verb	qal imperative 2nd person masculine singular	to eat (literally or figuratively)	H398	
אֱכֹל	אָכַל	verb	qal imperative 2nd person masculine singular	to eat (literally or figuratively)	H398	
אֱכוֹל	אָכַל	verb	qal imperative 2nd person masculine singular	to eat (literally or figuratively)	H398	
אֱלִי	אָלָה	verb	qal imperative 2nd person feminine singular	to bewail	H421	
אֱלִיאֵל	אֱלִיאֵל	proper noun	not parsed	Eliel, the name of nine Israelites	H447	
אֱלִיאָב	אֱלִיאָב	proper noun	not parsed	Eliab, the name of six Israelites	H446	
אֱלִיאָתָה	אֱלִיאָתָה	proper noun	not parsed	Eliathah, an Israelite	H448	
אֱלִידָד	אֱלִידָד	proper noun	not parsed	Elidad, an Israelite	H449	
אֱלִיהוּ	אֱלִיהוּ	proper noun	not parsed	Elihu, the name of one of Job's friends, and of three Israelites	H453	
אֱלִיהוּא	אֱלִיהוּ	proper noun	not parsed	Elihu, the name of one of Job's friends, and of three Israelites	H453	
אֱלִיחֹרֶף	אֱלִיחֹרֶף	proper noun	not parsed	Elichoreph, an Israelite	H456	
אֱלִילִים	אֱלִיל	noun	masculine plural absolute	good for nothing, by anal. vain or vanity; specifically an idol	H457	
אֱלִילִם	אֱלִיל	noun	masculine plural absolute	good for nothing, by anal. vain or vanity; specifically an idol	H457	
אֱלִילֵי	אֱלִיל	noun	masculine plural construct	good for nothing, by anal. vain or vanity; specifically an idol	H457	
אֱלִימֶלֶךְ	אֱלִימֶלֶךְ	proper noun	not parsed	Elimelek, an Israelite	H458	
אֱלִיעֶזֶר	אֱלִיעֶזֶר	proper noun	not parsed	Eliezer, the name of a Damascene and of ten Israelites	H461	
אֱלִיעָם	אֱלִיעָם	proper noun	not parsed	Eliam, an Israelite	H463	
אֱלִיפֶלֶט	אֱלִיפֶלֶט	proper noun	not parsed	Eliphelet or Elpelet, the name of six Israelites	H467	
אֱלִיפַז	אֱלִיפַז	proper noun	not parsed	Eliphaz, the name of one of Job's friends, and of a son of Esau	H464	
אֱלִיפַל	אֱלִיפָל	proper noun	not parsed	Eliphal, an Israelite	H465	
אֱלִיפָז	אֱלִיפַז	proper noun	not parsed	Eliphaz, the name of one of Job's friends, and of a son of Esau	H464	
אֱלִיצָפָן	אֱלִיצָפָן	proper noun	not parsed	Elitsaphan or Eltsaphan, an Israelite	H469	
אֱלִיצוּר	אֱלִיצוּר	proper noun	not parsed	Elitsur, an Israelite	H468	
אֱלִיקָא	אֱלִיקָא	proper noun	not parsed	Elika, an Israelite	H470	
אֱלִישֶׁבַע	אֱלִישֶׁבַע	proper noun	not parsed	Elisheba, the wife of Aaron	H472	
אֱלִישָׁה	אֱלִישָׁה	proper noun	not parsed	Elishah, a son of Javan	H473	
אֱלִישָׁמָע	אֱלִישָׁמָע	proper noun	not parsed	Elishama, the name of seven Israelites	H476	
אֱלִישָׁע	אֱלִישָׁע	proper noun	not parsed	Elisha, the famous prophet	H477	
אֱלִישָׁפָט	אֱלִישָׁפָט	proper noun	not parsed	Elishaphat, an Israelite	H478	
אֱלִל	אֱלִיל	noun	masculine singular absolute	good for nothing, by anal. vain or vanity; specifically an idol	H457	
אֱלֵי	אֵל	preposition	preposition	near, with or among; often in general, to	H413	
אֱלָה	אֱלָהּ	noun	masculine singular absolute	God	H426	
אֱלָהֲהֹם	אֱלָהּ	noun	masculine singular construct, pronominal suffix 3rd person masculine plural	God	H426	
